original	converted	r1_clipping	r1_brightness	r1_hue	r2_clipping	r2_brightness	r2_hue	rae_unint	rmse_unint	rmae_unint	rpae_unint	ssim_h_int	ssim_s_int	ssim_v_int	rae_int	rmse_int
originals/D700_PN_DSC_1316_.NEF	converted_AdobeDNC/D700_PN_DSC_1316_AdobeDNC.dng	3	2	3	3	2	3					0.99883467	0.99693555	0.9994908		
originals/D700_PN_DSC_1348_.NEF	converted_AdobeDNC/D700_PN_DSC_1348_AdobeDNC.dng	3	2	3	3	2	3					0.9989884	0.9976214	0.99970555		
originals/D700_PN_DSC_1353_.NEF	converted_AdobeDNC/D700_PN_DSC_1353_AdobeDNC.dng	2	2	3	3	2	3					0.99898136	0.9973752	0.99970496		
originals/D700_PN_DSC_2109_.NEF	converted_AdobeDNC/D700_PN_DSC_2109_AdobeDNC.dng	3	2	3	3	2	3					0.99943286	0.9965217	0.9997395		
originals/D700_PN_DSC_2261_.NEF	converted_AdobeDNC/D700_PN_DSC_2261_AdobeDNC.dng	3	2	2	3	2	3					0.99685085	0.9970752	0.99955225		
originals/D700_PN_DSC_2552_.NEF	converted_AdobeDNC/D700_PN_DSC_2552_AdobeDNC.dng	3	2	3	3	2	3					0.9981957	0.99698	0.999857		
originals/D700_PN_DSC_3021_.NEF	converted_AdobeDNC/D700_PN_DSC_3021_AdobeDNC.dng	3	2	3	3	1	3					0.99511254	0.99764544	0.9995972		
originals/D700_PN_DSC_3032_.NEF	converted_AdobeDNC/D700_PN_DSC_3032_AdobeDNC.dng	3	2	3	3	2	3					0.9999237	0.99557555	0.9996699		
originals/D700_PN_DSC_3735_.NEF	converted_AdobeDNC/D700_PN_DSC_3735_AdobeDNC.dng	3	2	3	3	2	3					0.9988333	0.9966237	0.9996935		
originals/D700_PN_DSC_3748_.NEF	converted_AdobeDNC/D700_PN_DSC_3748_AdobeDNC.dng	3	2	3	3	2	3					0.9991763	0.997389	0.9997436		
originals/D700_PN_DSC_3825_.NEF	converted_AdobeDNC/D700_PN_DSC_3825_AdobeDNC.dng	2	2	3	3	2	3					0.99920195	0.9973481	0.99977666		
originals/D700_PN_DSC_3872_.NEF	converted_AdobeDNC/D700_PN_DSC_3872_AdobeDNC.dng	3	2	3	3	2	3					0.9963843	0.9963215	0.999885		
originals/D700_PN_DSC_4115_.NEF	converted_AdobeDNC/D700_PN_DSC_4115_AdobeDNC.dng	3	2	3	3	2	3					0.99893206	0.9972234	0.99974704		
originals/D700_PN_DSC_4148_.NEF	converted_AdobeDNC/D700_PN_DSC_4148_AdobeDNC.dng	3	2	3	3	2	3					0.9988152	0.9967744	0.9996964		
originals/D700_PN_DSC_4176_.NEF	converted_AdobeDNC/D700_PN_DSC_4176_AdobeDNC.dng	2	2	3	3	2	3					0.99901444	0.9976164	0.9997611		
originals/D700_PN_DSC_4219_.NEF	converted_AdobeDNC/D700_PN_DSC_4219_AdobeDNC.dng	3	2	3	3	2	3					0.99764085	0.9962397	0.9990789		
originals/D700_PN_DSC_4406_.NEF	converted_AdobeDNC/D700_PN_DSC_4406_AdobeDNC.dng	3	2	3	3	2	3					0.9995628	0.99696535	0.99980336		
originals/D700_PN_DSC_4607_.NEF	converted_AdobeDNC/D700_PN_DSC_4607_AdobeDNC.dng	3	2	3	3	2	3					0.99840605	0.99721605	0.99958426		
originals/D700_PN_DSC_4745_.NEF	converted_AdobeDNC/D700_PN_DSC_4745_AdobeDNC.dng	3	2	3	3	2	3					0.99740523	0.99495125	0.999642		
originals/D700_PN_DSC_4769_.NEF	converted_AdobeDNC/D700_PN_DSC_4769_AdobeDNC.dng	3	2	3	3	2	3					0.99764234	0.99378735	0.9993615		
originals/D700_PN_DSC_4931_.NEF	converted_AdobeDNC/D700_PN_DSC_4931_AdobeDNC.dng	3	2	3	3	2	3					0.9980766	0.9965843	0.9995258		
originals/D700_PN_DSC_5284_.NEF	converted_AdobeDNC/D700_PN_DSC_5284_AdobeDNC.dng	3	2	3	3	2	3					0.99896514	0.99637973	0.9991638		
originals/D700_PN_DSC_5424_.NEF	converted_AdobeDNC/D700_PN_DSC_5424_AdobeDNC.dng	3	2	3	3	2	3					0.99954075	0.9970674	0.9996076		
originals/D700_PN_DSC_5526_.NEF	converted_AdobeDNC/D700_PN_DSC_5526_AdobeDNC.dng	3	2	3	3	2	3					0.9984478	0.998915	0.99988556		
originals/D700_PN_DSC_5590_.NEF	converted_AdobeDNC/D700_PN_DSC_5590_AdobeDNC.dng	3	2	3	3	2	3					0.99498963	0.9968886	0.9995232		
originals/D700_PN_DSC_5641_.NEF	converted_AdobeDNC/D700_PN_DSC_5641_AdobeDNC.dng	3	2	3	3	2	3					0.9990597	0.9971636	0.99974316		
originals/D700_PN_DSC_5670_.NEF	converted_AdobeDNC/D700_PN_DSC_5670_AdobeDNC.dng	3	2	3	3	2	3					0.99883336	0.9984094	0.99981904		
originals/D700_PN_DSC_5705_.NEF	converted_AdobeDNC/D700_PN_DSC_5705_AdobeDNC.dng	3	2	3	3	2	3					0.99791294	0.9973324	0.99965227		
originals/D700_PN_DSC_5787_.NEF	converted_AdobeDNC/D700_PN_DSC_5787_AdobeDNC.dng	3	2	3	3	2	3					0.99958193	0.9960994	0.99949837		
originals/D700_PN_DSC_5796_.NEF	converted_AdobeDNC/D700_PN_DSC_5796_AdobeDNC.dng	3	2	3	3	2	3					0.9987439	0.9978386	0.999765		
originals/D700_PN_DSC_5814_.NEF	converted_AdobeDNC/D700_PN_DSC_5814_AdobeDNC.dng	3	2	3	3	2	3					0.99792063	0.9966553	0.9995433		
originals/D700_PN_DSC_5864_.NEF	converted_AdobeDNC/D700_PN_DSC_5864_AdobeDNC.dng	3	2	3	3	2	3					0.9987706	0.99732685	0.99968517		
originals/D700_PN_DSC_6042_.NEF	converted_AdobeDNC/D700_PN_DSC_6042_AdobeDNC.dng	3	2	3	1	2	3					0.9995001	0.9979673	0.9997658		
originals/D700_PN_DSC_6263_.NEF	converted_AdobeDNC/D700_PN_DSC_6263_AdobeDNC.dng	3	2	3	3	1	3					0.998738	0.9979247	0.9998709		
originals/D700_PN_DSC_6316_.NEF	converted_AdobeDNC/D700_PN_DSC_6316_AdobeDNC.dng	3	2	3	3	2	3					0.9985049	0.9977306	0.99988294		
originals/D700_PN_DSC_7179_.NEF	converted_AdobeDNC/D700_PN_DSC_7179_AdobeDNC.dng	3	2	3	3	2	3					0.9994613	0.9981358	0.99972713		
originals/D700_PN_DSC_7941_.NEF	converted_AdobeDNC/D700_PN_DSC_7941_AdobeDNC.dng	3	2	3	3	2	3					0.9995304	0.9980506	0.99980104		
originals/D700_PN_DSC_8622_.NEF	converted_AdobeDNC/D700_PN_DSC_8622_AdobeDNC.dng	3	2	3	3	3	2					0.99833465	0.99660236	0.9990738		
originals/D700_PN_DSC_8735_.NEF	converted_AdobeDNC/D700_PN_DSC_8735_AdobeDNC.dng	3	2	3	3	2	3					0.99935156	0.9986225	0.999911		
originals/D700_PN_DSC_9047_.NEF	converted_AdobeDNC/D700_PN_DSC_9047_AdobeDNC.dng	3	2	3	3	2	3					0.99912506	0.9968867	0.99978805		
originals/D800_KPIC_1_.NEF	converted_AdobeDNC/D800_KPIC_1_AdobeDNC.dng	3	2	3	3	2	3					0.89669394	0.3666942	0.606485		
originals/D800_KPIC_2_.NEF	converted_AdobeDNC/D800_KPIC_2_AdobeDNC.dng	3	2	3	3	2	3					0.8214259	0.58449537	0.6491064		
originals/DSC_0141_.NEF	converted_AdobeDNC/DSC_0141_AdobeDNC.dng	3	2	2	3	2	3					0.999028	0.9982098	0.99878776		
originals/DSC_2265_.NEF	converted_AdobeDNC/DSC_2265_AdobeDNC.dng	3	2	1	3	2	3					0.9997093	0.9988898	0.9992361		
originals/DSC_2599_.NEF	converted_AdobeDNC/DSC_2599_AdobeDNC.dng	3	2	3	3	2	2					0.9993371	0.99913055	0.9994263		
originals/DSC_2982_.NEF	converted_AdobeDNC/DSC_2982_AdobeDNC.dng	3	2	2	3	2						0.998418	0.9985225	0.99919236		
originals/DSC_2984_.NEF	converted_AdobeDNC/DSC_2984_AdobeDNC.dng	3	2	3	3	2	3					0.9992574	0.9987653	0.99948454		
originals/DSC_2986_.NEF	converted_AdobeDNC/DSC_2986_AdobeDNC.dng	2	2	3	2	2	3					0.9991365	0.998394	0.9991799		
originals/DSC_2987_.NEF	converted_AdobeDNC/DSC_2987_AdobeDNC.dng	2	2	3	2	2	3					0.9988803	0.9982633	0.99933964		
originals/DSC_2988_.NEF	converted_AdobeDNC/DSC_2988_AdobeDNC.dng	2	2	2	2	2	3					0.99973375	0.9995432	0.9996485		
originals/DSC_2991_.NEF	converted_AdobeDNC/DSC_2991_AdobeDNC.dng	2	2	2	2	2	2					0.9990021	0.99751234	0.9988367		
originals/DSC_3006_.NEF	converted_AdobeDNC/DSC_3006_AdobeDNC.dng	2	2	3	3	2	3					0.9974676	0.9941562	0.99903566		
originals/DSC_3015_.NEF	converted_AdobeDNC/DSC_3015_AdobeDNC.dng	2	2	2	2	2	2					0.9986405	0.9975824	0.9990485		
originals/DSC_3022_.NEF	converted_AdobeDNC/DSC_3022_AdobeDNC.dng	3	2	2	2	2	3					0.99782616	0.99717516	0.9990288		
originals/DSC_3023_.NEF	converted_AdobeDNC/DSC_3023_AdobeDNC.dng	2	2	3	2	2	3					0.9985388	0.9977806	0.99925655		
originals/DSC_3024_.NEF	converted_AdobeDNC/DSC_3024_AdobeDNC.dng	2	2	3	2	2	3					0.99922454	0.99597013	0.99949336		
originals/DSC_3025_.NEF	converted_AdobeDNC/DSC_3025_AdobeDNC.dng	2	2	3	2	2	3					0.99875814	0.99789655	0.9991579		
originals/DSC_3029_.NEF	converted_AdobeDNC/DSC_3029_AdobeDNC.dng	2	2	3	3	2	3					0.9982127	0.9958583	0.9990525		
originals/DSC_3030_.NEF	converted_AdobeDNC/DSC_3030_AdobeDNC.dng	2	2	3	2	2	3					0.99966115	0.99924564	0.99911284		
originals/DSC_3031_.NEF	converted_AdobeDNC/DSC_3031_AdobeDNC.dng	2	2	3	3	2	3					0.99888337	0.997953	0.99966186		
originals/DSC_3032_.NEF	converted_AdobeDNC/DSC_3032_AdobeDNC.dng	2	2	3	2	2	3					0.9985483	0.9990669	0.9982626		
originals/DSC_3036_.NEF	converted_AdobeDNC/DSC_3036_AdobeDNC.dng	2	2	3	2	2	3					0.9983032	0.99880934	0.99789244		
originals/DSC_3037_.NEF	converted_AdobeDNC/DSC_3037_AdobeDNC.dng	2	2	3	2	2	3					0.99849236	0.9989497	0.99827266		
originals/DSC_3038_.NEF	converted_AdobeDNC/DSC_3038_AdobeDNC.dng	2	2	3	2	2	3					0.9983471	0.99901706	0.9982828		
originals/DSC_3040_.NEF	converted_AdobeDNC/DSC_3040_AdobeDNC.dng	2	2	3	2	2	3					0.9983332	0.9969016	0.9993993		
originals/DSC_3044_.NEF	converted_AdobeDNC/DSC_3044_AdobeDNC.dng	2	2	3	2	2	3					0.9993691	0.9981442	0.99898535		
