original	converted	r1_clipping	r1_brightness	r1_hue	r2_clipping	r2_brightness	r2_hue	rae_unint	rmse_unint	rmae_unint	rpae_unint	ssim_h_int	ssim_s_int	ssim_v_int	rae_int	rmse_int
originals/D700_PN_DSC_2109_.NEF	converted_AdobeDNC/D700_PN_DSC_2109_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9875869	0.97057	0.9982729	0.99800974	3.464129E-005
originals/D700_PN_DSC_2261_.NEF	converted_AdobeDNC/D700_PN_DSC_2261_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9962307	0.9954611	0.99947715	0.835953	7.315098E-007
originals/D700_PN_DSC_2552_.NEF	converted_AdobeDNC/D700_PN_DSC_2552_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.975694	0.979063	0.99842894	0.99999934	3.0750227E-005
originals/D700_PN_DSC_3021_.NEF	converted_AdobeDNC/D700_PN_DSC_3021_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9941017	0.9970037	0.99947107	0.99421424	7.342743E-007
originals/D700_PN_DSC_3032_.NEF	converted_AdobeDNC/D700_PN_DSC_3032_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9999246	0.9948626	0.99955046	0.9575276	2.3983055E-006
originals/D700_PN_DSC_3735_.NEF	converted_AdobeDNC/D700_PN_DSC_3735_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9912789	0.9849852	0.99831676	0.9999029	0.000037932
originals/D700_PN_DSC_3748_.NEF	converted_AdobeDNC/D700_PN_DSC_3748_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.99556667	0.98916084	0.99881697	0.97797817	3.888778E-006
originals/D700_PN_DSC_3825_.NEF	converted_AdobeDNC/D700_PN_DSC_3825_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.98929095	0.97993225	0.9984665	0.9881563	2.7911063E-005
originals/D700_PN_DSC_3872_.NEF	converted_AdobeDNC/D700_PN_DSC_3872_AdobeDNC.dng	3	3	3	3	3	3					0.9300657	0.93632627	0.9982156		
originals/D700_PN_DSC_4115_.NEF	converted_AdobeDNC/D700_PN_DSC_4115_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9948591	0.98905957	0.9987159	0.99983406	3.5812252E-005
originals/D700_PN_DSC_4148_.NEF	converted_AdobeDNC/D700_PN_DSC_4148_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9982323	0.9940283	0.99962646	0.6171229	1.1505019E-006
originals/D700_PN_DSC_4176_.NEF	converted_AdobeDNC/D700_PN_DSC_4176_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9991541	0.9976601	0.9997307	0.88342166	1.0431307E-006
originals/D700_PN_DSC_4219_.NEF	converted_AdobeDNC/D700_PN_DSC_4219_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.998747	0.9967148	0.99936295	0.99715275	1.9331726E-006
originals/D700_PN_DSC_4406_.NEF	converted_AdobeDNC/D700_PN_DSC_4406_AdobeDNC.dng	3	3	3	3	3	3	0	0	0	0	0.9972552	0.98804426	0.9994962	0.5881927	9.80738E-007
