original	converted	r1_clipping	r1_brightness	r1_hue	r2_clipping	r2_brightness	r2_hue	rae_unint	rmse_unint	rmae_unint	rpae_unint	ssim_h_int	ssim_s_int	ssim_v_int	rae_int	rmse_int
originals/DSC_3040_.NEF	converted_DxO/DSC_3040_DxO.dng	2	2	3	2	2	3	0	0	0	0	1	1	1	0	0
originals/DSC_3044_.NEF	converted_DxO/DSC_3044_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3045_.NEF	converted_DxO/DSC_3045_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3046_.NEF	converted_DxO/DSC_3046_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3047_.NEF	converted_DxO/DSC_3047_DxO.dng	2	2	2	2	3	2	0	0	0	0	1	1	1	0	0
originals/DSC_3049_.NEF	converted_DxO/DSC_3049_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3051_.NEF	converted_DxO/DSC_3051_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3052_.NEF	converted_DxO/DSC_3052_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3055_.NEF	converted_DxO/DSC_3055_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3056_.NEF	converted_DxO/DSC_3056_DxO.dng	2	2	3	2	2	3	0	0	0	0	1	1	1	0	0
originals/DSC_3059_.NEF	converted_DxO/DSC_3059_DxO.dng	2	2	2	2	2	3	0	0	0	0	1	1	1	0	0
originals/DSC_3061_.NEF	converted_DxO/DSC_3061_DxO.dng	2	2	2	2	3	2	0	0	0	0	1	1	1	0	0
originals/DSC_3065_.NEF	converted_DxO/DSC_3065_DxO.dng	2	2	3	2	3	2	0	0	0	0	1	1	1	0	0
originals/DSC_3087_.NEF	converted_DxO/DSC_3087_DxO.dng	2	2	2	2	3	2	0	0	0	0	1	1	1	0	0
originals/DSC_3088_.NEF	converted_DxO/DSC_3088_DxO.dng	2	2	2	2	3	2	0	0	0	0	1	1	1	0	0
originals/DSC_3094_.NEF	converted_DxO/DSC_3094_DxO.dng	2	3	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3095_.NEF	converted_DxO/DSC_3095_DxO.dng	2	2	2	2	3	2	0	0	0	0	1	1	1	0	0
originals/DSC_3096_.NEF	converted_DxO/DSC_3096_DxO.dng	2	2	2	2	3	2	0	0	0	0	1	1	1	0	0
originals/DSC_3097_.NEF	converted_DxO/DSC_3097_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3101_.NEF	converted_DxO/DSC_3101_DxO.dng	2	2	3	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3102_.NEF	converted_DxO/DSC_3102_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3104_.NEF	converted_DxO/DSC_3104_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3108_.NEF	converted_DxO/DSC_3108_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3110_.NEF	converted_DxO/DSC_3110_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3113_.NEF	converted_DxO/DSC_3113_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3114_.NEF	converted_DxO/DSC_3114_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3115_.NEF	converted_DxO/DSC_3115_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3116_.NEF	converted_DxO/DSC_3116_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3117_.NEF	converted_DxO/DSC_3117_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3118_.NEF	converted_DxO/DSC_3118_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3121_.NEF	converted_DxO/DSC_3121_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3122_.NEF	converted_DxO/DSC_3122_DxO.dng	2	3	2	2	2	2	0	0	0	0	1	1	1	0	0
originals/DSC_3123_.NEF	converted_DxO/DSC_3123_DxO.dng	2	2	2	2	2	2	0	0	0	0	1	1	1	0	0
